Time(s), Pan(degree), Tilt(degree), Ultrasonic(mm), ToF(mm)
64.58,54.0,1.0,395.99,282.0
64.79,53.0,1.0,428.75,338.0
64.99,52.0,1.0,438.01,347.0
65.2,51.0,1.0,433.55,393.0
65.4,50.0,1.0,403.02,459.0
65.61,49.0,1.0,386.9,426.0
65.82,48.0,1.0,383.47,496.0
66.02,47.0,1.0,387.42,456.0
66.23,46.0,1.0,404.57,470.0
66.43,45.0,1.0,474.88,531.0
66.64,44.0,1.0,582.07,487.0
66.85,43.0,1.0,392.05,624.0
67.05,42.0,1.0,404.91,583.0
67.26,41.0,1.0,621.86,738.0
67.47,40.0,1.0,632.66,555.0
67.68,39.0,1.0,658.05,638.0
67.88,38.0,1.0,650.5,710.0
68.09,37.0,1.0,645.53,734.0
68.3,36.0,1.0,638.32,993.0
68.5,35.0,1.0,635.41,835.0
68.71,34.0,1.0,662.68,955.0
68.92,33.0,1.0,658.22,1001.0
69.13,32.0,1.0,598.88,1114.0
69.33,31.0,1.0,389.82,1052.0
69.54,30.0,1.0,389.99,1094.0
69.75,29.0,1.0,403.37,948.0
69.95,28.0,1.0,591.5,857.0
70.16,27.0,1.0,603.34,803.0
70.37,26.0,1.0,679.65,777.0
70.57,25.0,1.0,633.86,745.0
70.78,24.0,1.0,640.72,734.0
70.99,23.0,1.0,609.34,726.0
71.2,22.0,1.0,573.15,720.0
71.4,21.0,1.0,584.82,711.0
71.61,20.0,1.0,588.42,719.0
71.82,19.0,1.0,588.25,708.0
72.02,18.0,1.0,574.7,720.0
72.23,17.0,1.0,572.47,721.0
72.44,16.0,1.0,572.64,730.0
72.65,15.0,1.0,566.12,717.0
72.85,14.0,1.0,164.13,715.0
73.06,13.0,1.0,160.01,717.0
73.26,12.0,1.0,155.38,714.0
73.47,11.0,1.0,168.24,709.0
73.67,10.0,1.0,634.89,695.0
73.88,9.0,1.0,619.46,699.0
74.09,8.0,1.0,612.43,692.0
74.29,7.0,1.0,594.93,689.0
74.5,6.0,1.0,574.18,685.0
74.71,5.0,1.0,570.24,689.0
74.91,4.0,1.0,587.39,689.0
75.12,3.0,1.0,586.7,699.0
75.33,2.0,1.0,669.36,710.0
75.54,1.0,1.0,669.54,711.0
75.74,0.0,1.0,673.65,735.0
75.95,-1.0,2.0,674.68,734.0
76.16,0.0,2.0,673.82,727.0
76.36,1.0,2.0,671.77,733.0
76.57,2.0,2.0,670.56,699.0
76.78,3.0,2.0,578.3,695.0
76.99,4.0,2.0,573.67,685.0
77.19,5.0,2.0,586.02,687.0
77.4,6.0,2.0,570.07,690.0
77.61,7.0,2.0,574.01,693.0
77.81,8.0,2.0,611.4,689.0
78.02,9.0,2.0,612.26,694.0
78.23,10.0,2.0,636.09,690.0
78.44,11.0,2.0,643.3,690.0
78.64,12.0,2.0,631.29,703.0
78.85,13.0,2.0,1002.59,704.0
79.06,14.0,2.0,1048.72,709.0
79.27,15.0,2.0,564.58,718.0
79.48,16.0,2.0,568.52,721.0
79.68,17.0,2.0,559.78,718.0
79.89,18.0,2.0,581.04,719.0
80.1,19.0,2.0,588.59,716.0
80.31,20.0,2.0,582.41,713.0
80.51,21.0,2.0,597.68,730.0
80.72,22.0,2.0,593.56,725.0
80.93,23.0,2.0,600.94,724.0
81.13,24.0,2.0,614.66,733.0
81.34,25.0,2.0,659.42,741.0
81.55,26.0,2.0,679.48,746.0
81.76,27.0,2.0,691.83,779.0
81.97,28.0,2.0,590.3,831.0
82.17,29.0,2.0,406.46,832.0
82.38,30.0,2.0,407.48,910.0
82.58,31.0,2.0,391.71,1292.0
82.79,32.0,2.0,595.45,1016.0
83.0,33.0,2.0,662.5,955.0
83.21,34.0,2.0,637.12,1168.0
83.41,35.0,2.0,646.9,959.0
83.62,36.0,2.0,633.18,797.0
83.83,37.0,2.0,640.38,654.0
84.04,38.0,2.0,391.36,726.0
84.24,39.0,2.0,636.95,657.0
84.45,40.0,2.0,634.38,676.0
84.66,41.0,2.0,632.84,654.0
84.86,42.0,2.0,617.06,604.0
85.07,43.0,2.0,403.88,547.0
85.28,44.0,2.0,400.45,534.0
85.48,45.0,2.0,463.05,499.0
85.69,46.0,2.0,472.31,459.0
85.89,47.0,2.0,421.38,464.0
86.1,48.0,2.0,379.02,464.0
86.31,49.0,2.0,378.84,434.0
86.51,50.0,2.0,387.42,425.0
86.72,51.0,2.0,403.02,414.0
86.93,52.0,2.0,449.33,383.0
87.13,53.0,2.0,438.01,315.0
87.34,54.0,2.0,387.76,331.0
87.54,55.0,2.0,395.14,293.0
87.75,56.0,2.0,426.52,292.0
87.95,57.0,2.0,849.27,274.0
88.16,58.0,2.0,839.84,259.0
88.37,59.0,2.0,840.69,258.0
88.58,60.0,2.0,605.05,255.0
88.79,61.0,2.0,821.83,263.0
89.0,62.0,2.0,811.02,278.0
89.2,63.0,2.0,199.8,274.0
89.41,64.0,2.0,199.8,271.0
89.61,65.0,2.0,203.91,280.0
89.82,66.0,2.0,199.8,298.0
90.02,67.0,2.0,199.63,322.0
90.23,68.0,2.0,189.16,345.0
90.43,69.0,2.0,195.17,358.0
90.64,70.0,2.0,195.17,372.0
90.84,71.0,2.0,199.63,369.0
91.05,72.0,2.0,191.39,377.0
91.25,73.0,2.0,195.34,375.0
91.46,74.0,2.0,191.22,376.0
91.66,75.0,2.0,191.22,375.0
91.87,76.0,2.0,193.11,372.0
92.07,77.0,2.0,195.51,371.0
92.28,78.0,2.0,199.8,372.0
92.48,79.0,2.0,199.97,372.0
92.69,80.0,2.0,212.83,370.0
92.89,81.0,2.0,374.56,370.0
93.1,82.0,2.0,361.18,367.0
93.3,83.0,2.0,356.03,369.0
93.51,84.0,2.0,346.09,369.0
93.71,85.0,2.0,352.26,365.0
93.92,86.0,2.0,351.92,372.0
94.13,87.0,2.0,351.75,364.0
94.33,88.0,2.0,355.69,371.0
94.54,89.0,2.0,351.75,361.0
94.74,90.0,2.0,355.52,371.0
94.95,91.0,2.0,353.46,360.0
95.15,92.0,2.0,355.35,367.0
95.36,93.0,2.0,350.72,362.0
95.57,94.0,2.0,350.72,371.0
95.77,95.0,2.0,350.89,366.0
95.98,96.0,2.0,350.89,366.0
96.18,97.0,2.0,350.72,369.0
96.39,98.0,2.0,348.49,368.0
96.59,99.0,2.0,354.83,370.0
96.8,100.0,2.0,355.01,372.0
97.01,101.0,2.0,354.66,375.0
97.21,102.0,2.0,354.66,373.0
97.42,103.0,2.0,350.72,377.0
97.62,104.0,2.0,350.55,381.0
97.83,105.0,2.0,349.0,379.0
98.04,106.0,2.0,351.06,384.0
98.24,107.0,2.0,355.35,391.0
98.45,108.0,2.0,359.64,393.0
98.65,109.0,2.0,359.81,401.0
98.86,110.0,2.0,368.55,405.0
99.06,111.0,2.0,359.98,405.0
99.27,112.0,2.0,360.49,408.0
99.48,113.0,2.0,368.72,413.0
99.68,114.0,2.0,385.87,416.0
99.89,115.0,2.0,373.7,422.0
100.09,116.0,2.0,435.44,433.0
100.3,117.0,2.0,610.54,440.0
100.51,118.0,2.0,606.6,439.0
100.71,119.0,2.0,613.97,456.0
100.92,120.0,2.0,574.7,451.0
101.13,121.0,2.0,551.54,461.0
101.34,122.0,2.0,434.24,464.0
101.54,123.0,2.0,554.29,462.0
101.75,124.0,2.0,698.69,473.0
101.96,125.0,2.0,698.52,475.0
102.16,126.0,2.0,694.23,471.0
102.37,127.0,2.0,596.13,479.0
102.58,128.0,2.0,606.94,493.0
102.79,129.0,2.0,604.71,482.0
102.99,130.0,2.0,606.08,481.0
103.2,131.0,2.0,610.37,479.0
103.41,132.0,2.0,598.54,475.0
103.62,133.0,2.0,605.39,464.0
103.82,134.0,2.0,617.06,453.0
104.03,135.0,2.0,659.07,439.0
104.24,136.0,2.0,647.76,418.0
104.44,137.0,2.0,618.26,415.0
104.65,138.0,2.0,602.14,384.0
104.86,139.0,2.0,597.51,357.0
105.07,140.0,2.0,267.2,345.0
105.27,141.0,2.0,256.91,327.0
105.48,142.0,2.0,274.57,324.0
105.68,143.0,2.0,262.39,303.0
105.89,144.0,2.0,248.16,302.0
106.09,145.0,2.0,239.93,294.0
106.3,146.0,2.0,239.41,281.0
106.5,147.0,2.0,238.21,286.0
106.71,148.0,2.0,238.73,271.0
106.91,149.0,2.0,243.02,264.0
107.12,150.0,2.0,236.84,266.0
107.32,151.0,2.0,242.16,263.0
107.53,152.0,2.0,234.96,253.0
107.74,153.0,2.0,235.81,257.0
107.94,154.0,2.0,236.84,250.0
108.14,155.0,2.0,236.5,250.0
108.35,156.0,2.0,229.3,247.0
108.56,157.0,2.0,230.67,245.0
108.76,158.0,2.0,227.07,237.0
108.96,159.0,2.0,231.35,233.0
109.17,160.0,2.0,223.29,234.0
109.38,161.0,2.0,226.72,227.0
109.58,162.0,2.0,226.38,235.0
109.79,163.0,2.0,226.38,227.0
109.99,164.0,2.0,222.61,230.0
110.2,165.0,2.0,226.21,231.0
110.4,166.0,2.0,230.5,236.0
110.61,167.0,2.0,230.32,242.0
110.81,168.0,2.0,231.18,246.0
111.02,169.0,2.0,230.5,255.0
111.22,170.0,2.0,230.5,261.0
111.43,171.0,2.0,234.44,266.0
111.63,172.0,2.0,231.01,1426.0
111.84,173.0,2.0,239.41,3475.0
112.04,174.0,2.0,234.96,4188.0
112.25,175.0,2.0,243.19,4108.0
112.45,176.0,2.0,235.3,3874.0
112.66,177.0,2.0,242.84,4312.0
112.86,178.0,2.0,256.74,4247.0
113.07,179.0,2.0,255.71,4190.0
113.27,180.0,2.0,2775.9,4123.0
113.49,181.0,3.0,261.88,4184.0
113.7,180.0,3.0,272.86,4376.0
113.9,179.0,3.0,282.46,4143.0
114.11,178.0,3.0,260.17,4198.0
114.31,177.0,3.0,250.05,4067.0
114.52,176.0,3.0,238.56,4267.0
114.72,175.0,3.0,239.41,4283.0
114.93,174.0,3.0,234.96,4239.0
115.14,173.0,3.0,238.04,4134.0
115.34,172.0,3.0,234.61,4219.0
115.55,171.0,3.0,233.75,375.0
115.75,170.0,3.0,235.47,280.0
115.96,169.0,3.0,230.32,266.0
116.16,168.0,3.0,230.32,258.0
116.37,167.0,3.0,229.12,247.0
116.57,166.0,3.0,227.58,243.0
116.78,165.0,3.0,226.21,235.0
116.98,164.0,3.0,226.21,232.0
117.19,163.0,3.0,225.18,233.0
117.39,162.0,3.0,228.1,228.0
117.6,161.0,3.0,226.55,233.0
117.8,160.0,3.0,225.35,228.0
118.01,159.0,3.0,225.87,231.0
118.21,158.0,3.0,224.49,235.0
118.42,157.0,3.0,227.24,239.0
118.62,156.0,3.0,230.5,250.0
118.83,155.0,3.0,231.52,246.0
119.03,154.0,3.0,229.64,252.0
119.24,153.0,3.0,236.67,253.0
119.44,152.0,3.0,235.98,253.0
119.65,151.0,3.0,241.64,253.0
119.85,150.0,3.0,239.24,258.0
120.06,149.0,3.0,241.3,264.0
120.26,148.0,3.0,238.21,271.0
120.47,147.0,3.0,243.19,282.0
120.67,146.0,3.0,239.93,286.0
120.88,145.0,3.0,243.87,290.0
121.08,144.0,3.0,244.39,299.0
121.29,143.0,3.0,247.99,296.0
121.49,142.0,3.0,258.11,312.0
121.7,141.0,3.0,261.54,326.0
121.9,140.0,3.0,259.48,321.0
122.11,139.0,3.0,254.68,357.0
122.31,138.0,3.0,600.25,358.0
122.52,137.0,3.0,610.71,400.0
122.73,136.0,3.0,601.45,405.0
122.94,135.0,3.0,638.67,427.0
123.14,134.0,3.0,629.92,436.0
123.35,133.0,3.0,623.23,461.0
123.56,132.0,3.0,613.97,473.0
123.77,131.0,3.0,609.0,484.0
123.97,130.0,3.0,600.76,483.0
124.18,129.0,3.0,606.94,486.0
124.39,128.0,3.0,598.19,485.0
124.6,127.0,3.0,601.62,498.0
124.8,126.0,3.0,581.73,490.0
125.01,125.0,3.0,711.72,487.0
125.22,124.0,3.0,641.75,476.0
125.43,123.0,3.0,420.52,476.0
125.63,122.0,3.0,421.55,471.0
125.84,121.0,3.0,425.66,469.0
126.04,120.0,3.0,553.26,462.0
126.25,119.0,3.0,588.93,453.0
126.46,118.0,3.0,609.51,454.0
126.67,117.0,3.0,596.13,456.0
126.87,116.0,3.0,604.02,443.0
127.08,115.0,3.0,377.64,433.0
127.29,114.0,3.0,360.49,430.0
127.49,113.0,3.0,372.67,428.0
127.7,112.0,3.0,372.67,422.0
127.9,111.0,3.0,358.95,412.0
128.11,110.0,3.0,363.07,408.0
128.32,109.0,3.0,353.46,404.0
128.52,108.0,3.0,363.75,404.0
128.73,107.0,3.0,355.01,396.0
128.93,106.0,3.0,352.6,392.0
129.14,105.0,3.0,355.01,388.0
129.35,104.0,3.0,354.83,385.0
129.55,103.0,3.0,354.83,383.0
129.76,102.0,3.0,348.66,373.0
129.96,101.0,3.0,354.83,375.0
130.17,100.0,3.0,353.8,376.0
130.37,99.0,3.0,347.97,373.0
130.58,98.0,3.0,350.37,371.0
130.79,97.0,3.0,350.55,370.0
130.99,96.0,3.0,350.37,369.0
131.2,95.0,3.0,344.37,369.0
131.4,94.0,3.0,350.2,365.0
131.61,93.0,3.0,346.09,370.0
131.81,92.0,3.0,344.03,367.0
132.02,91.0,3.0,350.55,364.0
132.23,90.0,3.0,350.72,366.0
132.43,89.0,3.0,355.35,366.0
132.64,88.0,3.0,349.69,369.0
132.84,87.0,3.0,351.58,367.0
133.05,86.0,3.0,351.58,367.0
133.26,85.0,3.0,345.06,368.0
133.46,84.0,3.0,347.8,370.0
133.67,83.0,3.0,351.92,373.0
133.87,82.0,3.0,360.84,374.0
134.08,81.0,3.0,359.12,376.0
134.28,80.0,3.0,217.98,374.0
134.49,79.0,3.0,222.09,378.0
134.69,78.0,3.0,208.54,375.0
134.9,77.0,3.0,197.23,375.0
135.1,76.0,3.0,205.11,376.0
135.31,75.0,3.0,196.37,376.0
135.51,74.0,3.0,196.2,373.0
135.72,73.0,3.0,194.14,377.0
135.92,72.0,3.0,200.31,380.0
136.13,71.0,3.0,200.48,379.0
136.33,70.0,3.0,200.48,380.0
136.54,69.0,3.0,196.88,372.0
136.74,68.0,3.0,204.77,365.0
136.95,67.0,3.0,200.48,353.0
137.15,66.0,3.0,200.66,325.0
137.36,65.0,3.0,202.54,327.0
137.56,64.0,3.0,209.23,315.0
137.77,63.0,3.0,772.95,293.0
137.97,62.0,3.0,786.33,299.0
138.18,61.0,3.0,815.14,301.0
138.39,60.0,3.0,829.03,298.0
138.6,59.0,3.0,590.82,304.0
138.81,58.0,3.0,849.27,297.0
139.02,57.0,3.0,827.83,310.0
139.23,56.0,3.0,844.81,297.0
139.43,55.0,3.0,876.19,320.0
139.64,54.0,3.0,429.26,347.0
139.85,53.0,3.0,423.95,353.0
140.05,52.0,3.0,450.36,397.0
140.26,51.0,3.0,432.35,432.0
140.47,50.0,3.0,411.26,440.0
140.67,49.0,3.0,387.25,476.0
140.88,48.0,3.0,401.82,488.0
141.09,47.0,3.0,387.59,502.0
141.29,46.0,3.0,424.29,520.0
141.5,45.0,3.0,437.67,514.0
141.7,44.0,3.0,400.11,516.0
141.91,43.0,3.0,400.28,640.0
142.12,42.0,3.0,416.4,692.0
142.32,41.0,3.0,621.17,542.0
142.53,40.0,3.0,653.76,629.0
142.74,39.0,3.0,645.18,594.0
142.94,38.0,3.0,649.47,682.0
143.15,37.0,3.0,649.64,728.0
143.36,36.0,3.0,648.78,802.0
143.57,35.0,3.0,645.7,901.0
143.77,34.0,3.0,641.58,912.0
143.98,33.0,3.0,595.62,821.0
